timestamp,Ax,Ay,Az,Dx,Dy,flex,B1,B2
298402,0.8,6.0,7.8,0,0,945,1,1
298422,0.9,6.0,7.8,0,0,947,1,1
298442,0.8,6.0,7.8,0,0,945,1,1
298462,0.9,6.0,7.8,0,0,945,1,1
298482,0.8,6.0,7.8,0,0,943,1,1
298502,0.8,6.0,7.8,0,0,947,1,1
298522,0.9,6.0,7.8,0,0,945,1,1
298542,0.8,6.0,7.8,0,0,946,1,1
298562,0.8,6.0,7.8,0,0,943,1,1
298582,0.8,6.0,7.8,0,0,945,1,1
298602,0.9,6.0,7.8,0,0,947,1,1
298622,0.9,6.0,7.8,0,0,946,1,1
298642,0.9,6.0,7.8,0,0,946,1,1
298662,0.9,6.0,7.8,0,0,942,1,1
298682,0.8,6.0,7.8,0,0,948,1,1
298702,0.8,6.0,7.8,0,0,943,1,1
298722,0.8,6.0,7.8,0,0,947,1,1
298742,0.9,6.0,7.8,0,0,946,1,1
298762,0.9,6.0,7.8,0,0,946,1,1
298782,0.9,6.0,7.8,0,0,946,1,1
298802,0.8,6.0,7.7,0,0,945,1,1
298822,0.8,5.9,7.5,0,0,944,1,1
298842,0.8,6.0,7.3,0,0,946,1,1
298862,0.8,6.0,7.5,0,0,946,1,1
298882,0.8,5.9,7.4,0,0,943,1,1
298902,0.6,5.8,7.5,0,0,944,1,1
298922,0.7,6.2,7.2,0,0,944,1,1
298942,1.0,8.6,7.9,0,0,945,1,1
298962,1.0,7.2,9.5,0,0,945,1,1
298982,2.5,6.7,9.5,0,0,944,1,1
299002,0.6,5.5,6.6,0,0,948,1,1
299022,0.7,6.2,7.5,0,0,946,1,1
299042,0.7,7.0,7.6,0,0,943,1,1
299062,0.7,6.6,7.5,0,0,945,1,1
299082,0.7,6.5,7.4,0,0,944,1,1
299102,0.7,6.4,7.4,0,0,946,1,1
299122,0.7,6.4,7.4,0,0,946,1,1
299142,0.7,6.4,7.5,0,0,947,1,1
299162,0.7,6.4,7.4,0,0,944,1,1
299182,0.7,6.5,7.4,0,0,946,1,1
299202,0.7,6.4,7.4,0,0,943,1,1
299222,0.7,6.4,7.4,0,0,945,1,1
299242,0.7,6.4,7.4,0,0,946,1,1
299262,0.7,6.4,7.5,0,0,944,1,1
299282,0.7,6.4,7.4,0,0,948,1,1
299302,0.7,6.4,7.4,0,0,947,1,1
299322,0.7,6.4,7.4,0,0,946,1,1
299342,0.7,6.4,7.4,0,0,945,1,1
299362,0.7,6.5,7.4,0,0,945,1,1
299382,0.7,6.4,7.4,0,0,946,1,1
299402,0.7,6.4,7.4,0,0,946,1,1
299422,0.7,6.4,7.4,0,0,945,1,1
299442,0.7,6.5,7.4,0,0,948,1,1
299462,0.7,6.5,7.4,0,0,947,1,1
299482,0.7,6.5,7.4,0,0,944,1,1
299502,0.7,6.5,7.4,0,0,946,1,1
299522,0.6,6.5,7.4,0,0,945,1,1
299542,0.7,6.5,7.4,0,0,945,1,1
299562,0.7,6.5,7.4,0,0,947,1,1
299582,0.7,6.5,7.4,0,0,947,1,1
299602,0.7,6.4,7.4,0,0,947,1,1
299622,0.7,6.4,7.4,0,0,946,1,1
299642,0.7,6.4,7.4,0,0,945,1,1
299662,0.7,6.4,7.4,0,0,944,1,1
299682,0.7,6.4,7.4,0,0,947,1,1
299702,0.6,6.5,7.4,0,0,943,1,1
299722,0.7,6.5,7.4,0,0,945,1,1
299742,0.7,6.5,7.4,0,0,944,1,1
299762,0.7,6.5,7.4,0,0,945,1,1
299782,0.7,6.4,7.4,0,0,944,1,1
299802,0.7,6.4,7.4,0,0,944,1,1
299822,0.7,6.5,7.4,0,0,948,1,1
299842,0.7,6.5,7.4,0,0,947,1,1
299862,0.7,6.5,7.4,0,0,947,1,1
299882,0.7,6.5,7.4,0,0,947,1,1
299902,0.6,6.5,7.4,0,0,945,1,1
299922,0.7,6.4,7.4,0,0,946,1,1
299942,0.7,6.5,7.4,0,0,946,1,1
299962,0.7,6.5,7.4,0,0,945,1,1
299982,0.7,6.4,7.4,0,0,947,1,1
300002,0.7,6.5,7.4,0,0,946,1,1
300022,2.0,11.2,32.9,0,0,946,1,1
300042,4.0,10.2,4.6,0,0,945,1,1
300062,4.3,13.1,7.3,0,0,947,1,1
300082,-1.3,6.4,13.2,0,0,946,1,1
300102,-0.3,0.1,3.9,0,0,945,1,1
300122,-0.5,3.3,11.8,0,0,946,1,1
300142,0.2,7.0,12.6,0,0,944,1,1
300162,0.9,5.8,4.0,0,0,946,1,1
300182,0.5,5.7,8.9,0,0,944,1,1
300202,0.1,4.5,8.8,0,0,946,1,1
300222,-0.7,11.6,3.9,0,0,945,1,1
300242,3.7,7.8,9.4,0,0,946,1,1
300262,1.9,5.2,15.2,0,0,946,1,1
300282,-1.4,2.8,2.9,0,0,948,1,1
300302,0.6,3.6,10.0,0,0,943,1,1
300322,0.8,9.2,11.5,0,0,946,1,1
300342,1.0,6.0,4.6,0,0,945,1,1
300362,0.7,6.2,7.5,0,0,945,1,1
300382,0.6,6.4,9.0,0,0,948,1,1
300402,0.8,6.3,6.0,0,0,945,1,1
300422,0.7,6.4,8.1,0,0,947,1,1
300442,0.7,6.1,7.3,0,0,945,1,1
300462,0.7,6.2,7.5,0,0,946,1,1
300482,0.6,6.0,7.9,0,0,946,1,1
300502,0.6,6.3,7.6,0,0,946,1,1
300522,0.7,6.2,7.5,0,0,946,1,1
300542,0.7,6.3,7.6,0,0,948,1,1
300562,0.7,6.2,7.6,0,0,945,1,1
300582,0.7,6.3,7.6,0,0,942,1,1
300602,0.7,6.2,7.6,0,0,944,1,1
300622,0.7,6.3,7.6,0,0,943,1,1
300642,0.7,6.3,7.6,0,0,945,1,1
300662,0.7,6.3,7.6,0,0,948,1,1
300682,0.7,6.3,7.6,0,0,946,1,1
300702,0.7,6.3,7.6,0,0,945,1,1
300722,0.7,6.2,7.6,0,0,945,1,1
300742,0.7,6.3,7.6,0,0,944,1,1
300762,0.7,6.3,7.6,0,0,945,1,1
300782,0.7,6.3,7.6,0,0,946,1,1
300802,0.7,6.2,7.6,0,0,944,1,1
300822,0.7,6.3,7.6,0,0,945,1,1
300842,0.7,6.2,7.6,0,0,943,1,1
300862,0.7,6.3,7.6,0,0,942,1,1
300882,0.7,6.3,7.6,0,0,943,1,1
300902,0.7,6.2,7.6,0,0,945,1,1
300922,0.7,6.2,7.6,0,0,947,1,1
300942,0.7,6.3,7.6,0,0,946,1,1
300962,0.7,6.3,7.6,0,0,946,1,1
300982,0.7,6.3,7.6,0,0,944,1,1
301002,0.7,6.3,7.6,0,0,945,1,1
301022,0.7,6.3,7.6,0,0,945,1,1
301042,0.7,6.3,7.6,0,0,945,1,1
301062,0.7,6.3,7.6,0,0,945,1,1
301082,0.7,6.2,7.6,0,0,947,1,1
301102,0.7,6.3,7.6,0,0,946,1,1
301122,0.7,6.3,7.6,0,0,942,1,1
301142,0.7,6.3,7.6,0,0,943,1,1
301162,0.7,6.2,7.6,0,0,948,1,1
301182,0.7,6.3,7.6,0,0,945,1,1
301202,0.7,6.3,7.6,0,0,948,1,1
301222,0.7,6.2,7.6,0,0,945,1,1
301242,0.7,6.3,7.6,0,0,947,1,1
301262,0.7,6.3,7.6,0,0,944,1,1
301282,0.7,6.3,7.6,0,0,945,1,1
301302,0.7,6.2,7.6,0,0,944,1,1
301322,0.7,6.3,7.6,0,0,948,1,1
301342,0.7,6.2,7.6,0,0,948,1,1
301362,0.7,6.3,7.6,0,0,945,1,1
301382,0.7,6.3,7.6,0,0,946,1,1
301402,0.7,6.3,7.6,0,0,944,1,1
301422,0.7,6.3,7.6,0,0,944,1,1
301442,0.7,6.2,7.6,0,0,945,1,1
301462,0.7,6.2,7.6,0,0,946,1,1
301482,0.7,6.3,7.6,0,0,948,1,1
301502,0.7,6.3,7.6,0,0,945,1,1
301522,0.7,6.3,7.6,0,0,944,1,1
301542,0.7,6.2,7.6,0,0,943,1,1
301562,0.7,6.3,7.6,0,0,945,1,1
301582,0.7,6.3,7.6,0,0,947,1,1
301602,0.7,6.3,7.6,0,0,947,1,1
301622,0.7,6.3,7.6,0,0,945,1,1
301642,0.7,6.3,7.6,0,0,946,1,1
301662,0.7,6.3,7.6,0,0,943,1,1
301682,0.7,6.3,7.6,0,0,944,1,1
301702,0.7,6.3,7.6,0,0,944,1,1
301722,0.7,6.3,7.6,0,0,945,1,1
301742,0.7,6.2,7.6,0,0,946,1,1
301762,0.7,6.3,7.6,0,0,947,1,1
301782,0.7,6.3,7.6,0,0,945,1,1
301802,0.7,6.3,7.6,0,0,945,1,1
301822,0.7,6.3,7.6,0,0,942,1,1
301842,0.7,6.3,7.6,0,0,946,1,1
301862,0.7,6.3,7.6,0,0,944,1,1
301882,0.7,6.3,7.6,0,0,945,1,1
301902,0.7,6.3,7.6,0,0,945,1,1
301922,0.7,6.3,7.6,0,0,944,1,1
301942,0.7,6.3,7.6,0,0,941,1,1
301962,0.7,6.3,7.6,0,0,943,1,1
301982,0.7,6.3,7.6,0,0,917,1,1
302002,0.7,6.3,7.6,0,0,944,1,1
302022,0.7,6.3,7.6,0,0,950,1,1
302042,0.7,6.3,7.6,0,0,946,1,1
302062,0.7,6.3,7.6,0,0,947,1,1
302082,0.7,6.2,7.6,0,0,945,1,1
302102,0.7,6.3,7.6,0,0,944,1,1
302122,0.7,6.2,7.6,0,0,946,1,1
302142,0.7,6.3,7.6,0,0,945,1,1
302162,0.7,6.3,7.6,0,0,945,1,1
302182,0.7,6.3,7.6,0,0,945,1,1
302202,0.7,6.3,7.6,0,0,944,1,1
302222,0.7,6.2,7.6,0,0,944,1,1
302242,0.7,6.3,7.6,0,0,944,1,1
302262,0.7,6.3,7.6,0,0,944,1,1
302282,0.7,6.3,7.6,0,0,944,1,1
302302,0.7,6.3,7.6,0,0,948,1,1
302322,0.7,6.2,7.6,0,0,947,1,1
302342,0.7,6.3,7.6,0,0,946,1,1
302362,0.7,6.3,7.6,0,0,945,1,1
302382,0.7,6.3,7.6,0,0,945,1,1
302402,0.7,6.3,7.6,0,0,945,1,1
302422,0.7,6.3,7.6,0,0,945,1,1
302442,0.7,6.3,7.6,0,0,946,1,1
302462,0.7,6.3,7.7,0,0,946,1,1
302482,0.7,6.1,7.1,0,0,943,1,1
302502,0.6,6.4,8.7,0,0,943,1,1
302522,0.2,2.4,1.3,0,0,945,1,1
302542,-0.4,14.0,7.2,0,0,944,1,1
302562,1.4,10.6,7.9,0,0,949,1,1
302582,-1.4,5.4,15.4,0,0,945,1,1
302602,0.1,2.8,4.3,0,0,946,1,1
302622,0.4,5.4,8.7,0,0,947,1,1
302642,1.1,8.6,10.3,0,0,946,1,1
302662,0.7,6.1,6.5,0,0,946,1,1
302682,0.7,6.6,8.1,0,0,946,1,1
302702,0.7,6.3,7.5,0,0,945,1,1
302722,3.1,17.1,28.5,0,0,946,1,1
302742,3.1,4.5,11.8,0,0,946,1,1
302762,1.8,12.6,8.8,0,0,944,1,1
302782,-0.4,4.8,15.5,0,0,944,1,1
302802,0.2,0.2,2.5,0,0,945,1,1
302822,0.1,5.6,9.8,0,0,947,1,1
302842,0.2,6.0,11.6,0,0,947,1,1
302862,0.7,6.8,3.4,0,0,948,1,1
302882,0.7,6.3,6.5,0,0,945,1,1
302902,0.6,6.2,8.7,0,0,944,1,1
302922,0.8,5.9,6.0,0,0,944,1,1
302942,0.7,6.2,7.7,0,0,945,1,1
302962,0.7,6.0,7.4,0,0,944,1,1
302982,0.7,6.3,7.6,0,0,943,1,1
303002,0.6,6.1,7.6,0,0,946,1,1
303022,0.6,6.2,7.5,0,0,944,1,1
303042,0.7,6.3,7.6,0,0,943,1,1
303062,0.7,6.2,7.6,0,0,943,1,1
303082,0.7,6.2,7.6,0,0,945,1,1
303102,0.7,6.3,7.6,0,0,945,1,1
303122,0.7,6.3,7.6,0,0,948,1,1
303142,0.7,6.3,7.6,0,0,945,1,1
303162,0.6,6.3,7.6,0,0,944,1,1
303182,0.6,6.3,7.6,0,0,944,1,1
303202,0.7,6.2,7.6,0,0,947,1,1
303222,0.7,6.2,7.6,0,0,945,1,1
303242,0.7,6.3,7.6,0,0,945,1,1
303262,0.7,6.2,7.6,0,0,946,1,1
303282,0.7,6.2,7.6,0,0,945,1,1
303302,0.7,6.3,7.6,0,0,945,1,1
303322,0.7,6.3,7.6,0,0,943,1,1
303342,0.6,6.3,7.6,0,0,944,1,1
303362,0.6,6.3,7.6,0,0,946,1,1
303382,0.7,6.3,7.6,0,0,943,1,1
303402,0.7,6.3,7.6,0,0,949,1,1
303422,0.7,6.2,7.6,0,0,946,1,1
303442,0.7,6.2,7.6,0,0,946,1,1
303462,0.7,6.3,7.6,0,0,947,1,1
303482,0.7,6.3,7.6,0,0,945,1,1
303502,0.6,6.3,7.6,0,0,946,1,1
303522,0.7,6.3,7.6,0,0,945,1,1
303542,0.7,6.3,7.6,0,0,945,1,1
303562,0.7,6.2,7.6,0,0,945,1,1
303582,0.7,6.2,7.6,0,0,945,1,1
303602,0.7,6.3,7.6,0,0,944,1,1
303622,0.7,6.2,7.6,0,0,945,1,1
303642,0.7,6.3,7.6,0,0,943,1,1
303662,0.6,6.2,7.6,0,0,944,1,1
