timestamp,Ax,Ay,Az,Dx,Dy,flex,B1,B2
724822,0.8,4.7,8.6,0,0,945,1,1
724842,0.8,4.7,8.6,0,0,948,1,1
724862,0.8,4.7,8.6,0,0,947,1,1
724882,0.8,4.7,8.6,0,0,948,1,1
724902,0.8,4.7,8.6,0,0,945,1,1
724922,0.8,4.7,8.6,0,0,947,1,1
724942,0.8,4.7,8.6,0,0,945,1,1
724962,0.8,4.7,8.6,0,0,946,1,1
724982,0.8,4.7,8.7,0,0,948,1,1
725002,0.8,4.7,8.6,0,0,943,1,1
725022,0.8,4.7,8.6,0,0,945,1,1
725042,0.8,4.7,8.6,0,0,946,1,1
725062,0.8,4.7,8.6,0,0,943,1,1
725082,0.8,4.7,8.6,0,0,944,1,1
725102,0.8,4.7,8.6,0,0,945,1,1
725122,0.8,4.7,8.6,0,0,944,1,1
725142,0.8,4.7,8.6,0,0,946,1,1
725162,0.8,4.7,8.6,0,0,948,1,1
725182,0.8,4.7,8.6,0,0,955,1,1
725202,0.8,4.7,8.6,0,0,945,1,1
725222,0.8,4.7,8.6,0,0,945,1,1
725242,0.8,4.7,8.6,0,0,947,1,1
725262,0.8,4.8,8.6,0,0,945,1,1
725282,0.8,4.7,8.7,0,0,946,1,1
725302,0.8,4.7,8.7,0,0,944,1,1
725322,0.8,4.7,8.6,0,0,944,1,1
725342,0.8,4.7,8.6,0,0,944,1,1
725362,0.8,4.7,8.6,0,0,947,1,1
725382,0.8,4.7,8.6,0,0,948,1,1
725402,0.8,4.7,8.7,0,0,944,1,1
725422,0.8,4.7,8.6,0,0,944,1,1
725442,0.8,4.7,8.6,0,0,945,1,1
725462,0.8,4.7,8.6,0,0,947,1,1
725482,0.8,4.7,8.6,0,0,946,1,1
725502,0.8,4.7,8.6,0,0,950,1,1
725522,0.8,4.7,8.6,0,0,946,1,1
725542,0.8,4.7,8.6,0,0,945,1,1
725562,0.8,4.7,8.7,0,0,944,1,1
725582,0.8,4.7,8.6,0,0,945,1,1
725602,0.8,4.7,8.6,0,0,944,1,1
725622,0.8,4.7,8.6,0,0,948,1,1
725642,0.8,4.8,8.6,0,0,947,1,1
725662,0.8,4.7,8.6,0,0,945,1,1
725682,0.8,4.7,8.7,0,0,948,1,1
725702,0.8,4.7,8.7,0,0,943,1,1
725722,0.8,4.7,8.7,0,0,946,1,1
725742,0.8,4.7,8.6,0,0,945,1,1
725762,0.8,4.7,8.6,0,0,945,1,1
725782,0.8,4.7,8.6,0,0,943,1,1
725802,0.8,4.7,8.6,0,0,942,1,1
725822,0.8,4.7,8.7,0,0,922,1,1
725842,0.8,4.7,8.7,0,0,945,1,1
725862,0.8,4.8,8.6,0,0,945,1,1
725882,0.8,4.7,8.6,0,0,948,1,1
725902,0.8,4.7,8.6,0,0,946,1,1
725922,0.8,4.7,8.6,0,0,946,1,1
725942,0.8,4.7,8.6,0,0,946,1,1
725962,0.8,4.7,8.6,0,0,948,1,1
725982,0.8,4.7,8.7,0,0,943,1,1
726002,0.8,4.7,8.7,0,0,947,1,1
726022,0.8,4.7,8.6,0,0,946,1,1
726042,0.8,4.7,8.6,0,0,945,1,1
726062,0.8,4.7,8.6,0,0,944,1,1
726082,0.8,4.7,8.6,0,0,947,1,1
726102,0.8,4.7,8.7,0,0,945,1,1
726122,0.8,4.7,8.6,0,0,946,1,1
726142,0.8,4.8,8.7,0,0,949,1,1
726162,0.8,4.7,8.6,0,0,947,1,1
726182,0.8,4.7,8.7,0,0,946,1,1
726202,0.8,4.7,8.6,0,0,947,1,1
726222,0.8,4.8,8.6,0,0,947,1,1
726242,0.8,4.8,8.6,0,0,946,1,1
726262,0.8,4.7,8.6,0,0,944,1,1
726282,0.8,4.7,8.6,0,0,946,1,1
726302,0.8,4.7,8.7,0,0,945,1,1
726322,0.8,4.7,8.6,0,0,945,1,1
726342,0.9,4.8,8.5,0,0,945,1,1
726362,0.8,4.8,8.6,0,0,946,1,1
726382,0.7,4.7,8.7,0,0,945,1,1
726402,0.8,4.7,8.6,0,0,948,1,1
726422,0.8,4.7,8.7,0,0,947,1,1
726442,0.7,4.7,8.7,-2,-5,941,1,1
726462,0.8,4.7,8.7,-1,-8,947,1,1
726482,0.8,4.8,8.7,-1,-14,948,1,1
726502,0.8,4.7,8.6,1,-14,945,1,1
726522,0.8,4.7,8.6,3,-12,945,1,1
726542,0.7,4.6,8.7,5,-11,946,1,1
726562,0.9,4.5,8.4,4,-7,945,1,1
726582,0.8,4.7,8.6,7,-10,945,1,1
726602,0.9,3.8,8.8,10,-8,943,1,1
726622,0.8,4.8,9.1,14,-9,946,1,1
726642,0.8,4.6,8.6,15,-4,945,1,1
726662,0.8,4.7,8.6,14,-2,944,1,1
726682,0.8,4.7,8.7,13,0,945,1,1
726702,0.8,4.8,8.9,9,0,948,1,1
726722,0.7,4.6,8.4,5,0,946,1,1
726742,0.8,4.8,8.8,5,0,947,1,1
726762,0.8,4.7,8.6,1,-3,946,1,1
726782,0.8,4.8,8.8,-1,5,947,1,1
726802,0.7,4.9,8.9,2,0,946,1,1
726822,0.8,4.7,8.7,8,-3,945,1,1
726842,0.9,4.8,8.8,15,11,948,1,1
726862,0.5,4.3,8.2,1,19,943,1,1
726882,0.8,4.5,8.8,-3,21,946,1,1
726902,0.9,4.9,8.7,-5,22,943,1,1
726922,0.8,4.4,8.5,-10,21,946,1,1
726942,3.4,3.7,7.6,-16,13,948,1,1
726962,1.0,4.4,7.7,-19,3,945,1,1
726982,1.0,5.0,8.8,-16,0,946,1,1
727002,0.8,4.7,8.6,-9,-5,947,1,1
727022,0.8,4.8,8.6,0,0,944,1,1
727042,0.8,4.8,8.6,0,0,946,1,1
727062,0.8,4.7,8.6,0,0,947,1,1
727082,0.8,4.7,8.6,0,0,945,1,1
727102,0.8,4.7,8.6,0,0,943,1,1
727122,0.8,4.8,8.6,0,0,946,1,1
727142,0.8,4.8,8.6,0,0,942,1,1
727162,0.8,4.7,8.6,0,0,946,1,1
727182,0.8,4.7,8.6,0,0,945,1,1
727202,0.8,4.7,8.6,0,0,947,1,1
727222,0.8,4.7,8.6,0,0,947,1,1
727242,0.8,4.8,8.6,0,0,947,1,1
727262,0.8,4.7,8.6,0,0,948,1,1
727282,0.8,4.8,8.6,0,0,946,1,1
727302,0.8,4.7,8.6,0,0,944,1,1
727322,0.8,4.8,8.6,0,0,945,1,1
727342,0.8,4.7,8.6,0,0,945,1,1
727362,0.8,4.7,8.6,0,0,945,1,1
727382,0.8,4.7,8.6,0,0,945,1,1
727402,0.8,4.8,8.6,0,0,943,1,1
727422,0.8,4.7,8.6,0,0,946,1,1
727442,0.8,4.7,8.7,0,0,946,1,1
727462,0.8,4.7,8.6,0,0,944,1,1
727482,0.8,4.7,8.6,0,0,949,1,1
727502,0.8,4.7,8.6,0,0,946,1,1
727522,0.8,4.8,8.6,0,0,945,1,1
727542,0.8,4.8,8.6,0,0,944,1,1
727562,0.8,4.7,8.6,0,0,946,1,1
727582,0.8,4.7,8.7,0,0,946,1,1
727602,0.8,4.7,8.7,0,0,946,1,1
727622,0.8,4.7,8.6,0,0,947,1,1
727642,0.8,4.8,8.6,0,0,946,1,1
727662,0.8,4.8,8.6,0,0,943,1,1
727682,0.8,4.8,8.6,0,0,946,1,1
727702,0.8,4.7,8.6,0,0,945,1,1
727722,0.8,4.7,8.7,0,0,947,1,1
727742,0.8,4.7,8.6,0,0,948,1,1
727762,0.8,4.8,8.6,0,0,947,1,1
727782,0.8,4.8,8.6,0,0,946,1,1
727802,0.8,4.8,8.6,0,0,945,1,1
727822,0.8,4.7,8.7,0,0,946,1,1
727842,0.8,4.8,8.6,0,0,947,1,1
727862,0.8,4.7,8.7,0,0,952,1,1
727882,0.8,4.7,8.6,0,0,945,1,1
727902,0.8,4.8,8.6,0,0,944,1,1
727922,0.8,4.8,8.6,0,0,945,1,1
727942,0.8,4.7,8.6,0,0,945,1,1
727962,0.8,4.6,8.4,0,0,946,1,1
727982,0.8,4.8,8.7,0,0,945,1,1
728002,0.8,4.7,8.6,0,0,947,1,1
728022,0.8,4.8,8.6,0,0,947,1,1
728042,0.8,4.7,8.8,-11,-6,943,1,1
728062,0.8,4.7,8.6,-10,-10,945,1,1
728082,0.6,4.9,8.7,-5,-10,945,1,1
728102,0.8,4.8,8.6,-1,-10,944,1,1
728122,0.8,4.7,8.6,5,-16,946,1,1
728142,0.8,4.8,8.6,7,-14,943,1,1
728162,0.7,4.8,8.6,12,-11,945,1,1
728182,0.8,4.8,8.6,12,-7,947,1,1
728202,0.8,4.8,8.7,12,-1,946,1,1
728222,0.8,4.7,8.5,14,4,946,1,1
728242,0.8,4.7,8.5,11,8,944,1,1
728262,0.8,5.1,9.7,10,9,947,1,1
728282,0.8,4.8,9.0,9,14,946,1,1
728302,0.8,4.8,9.1,12,19,946,1,1
728322,0.8,4.8,8.9,19,13,947,1,1
728342,1.0,4.9,6.7,14,7,947,1,1
728362,0.7,4.6,8.8,9,1,944,1,1
728382,0.8,4.7,8.7,3,-5,946,1,1
728402,0.9,4.8,8.7,0,-10,945,1,1
