timestamp,Ax,Ay,Az,Dx,Dy,flex,B1,B2
415502,0.7,5.9,8.9,0,0,948,1,1
415522,0.6,6.3,7.7,0,0,947,1,1
415542,0.6,6.4,7.7,0,0,945,1,1
415562,0.7,6.4,8.0,0,0,945,1,1
415582,0.7,6.1,6.8,0,0,946,1,1
415602,0.8,6.7,6.7,0,0,947,1,1
415622,0.7,6.3,7.7,0,0,945,1,1
415642,0.7,6.3,7.6,0,0,945,1,1
415662,0.7,6.2,7.7,0,0,945,1,1
415682,0.6,6.2,7.5,0,0,947,1,1
415702,0.6,6.2,7.7,0,0,941,1,1
415722,0.6,6.2,7.6,0,0,943,1,1
415742,0.7,6.2,7.3,0,0,943,1,1
415762,0.7,6.3,7.2,0,0,946,1,1
415782,0.8,7.1,8.5,0,0,947,1,1
415802,1.0,5.6,3.8,0,0,946,1,1
415822,0.7,6.9,7.0,0,0,943,1,1
415842,0.8,8.2,7.4,0,0,946,1,1
415862,1.3,7.9,7.9,0,0,944,1,1
415882,1.1,5.8,5.2,0,0,945,1,1
415902,0.7,9.1,3.6,0,0,947,1,1
415922,0.4,6.2,0.3,0,0,944,1,1
415942,0.8,4.3,5.5,0,0,944,1,1
415962,10.3,26.9,15.7,0,0,945,1,1
415982,0.8,8.5,10.2,0,0,943,1,1
416002,0.8,10.7,4.5,0,0,944,1,1
416022,0.7,11.3,6.8,0,0,944,1,1
416042,2.4,11.5,3.0,0,0,950,1,1
416062,-0.9,-2.5,-8.3,0,0,950,1,1
416082,1.2,3.6,1.0,0,0,944,1,1
416102,2.2,8.6,7.8,0,0,947,1,1
416122,0.3,7.8,3.1,0,0,945,1,1
416142,0.8,10.4,7.6,0,0,946,1,1
416162,0.8,9.5,6.4,0,0,945,1,1
416182,2.1,7.7,4.6,0,0,945,1,1
416202,3.0,6.7,7.0,0,0,945,1,1
416222,1.1,10.5,7.8,0,0,945,1,1
416242,1.9,7.1,11.6,0,0,944,1,1
416262,-1.4,10.4,5.3,0,0,943,1,1
416282,0.3,5.4,13.0,0,0,944,1,1
416302,-0.7,5.8,-6.0,0,0,947,1,1
416322,-0.8,3.5,3.6,0,0,945,1,1
416342,4.8,6.9,2.6,0,0,947,1,1
416362,0.3,5.5,7.0,0,0,948,1,1
416382,0.9,10.3,11.0,0,0,945,1,1
416402,0.5,9.3,11.9,0,0,945,1,1
416422,0.5,6.1,1.9,0,0,945,1,1
416442,0.6,5.6,3.6,0,0,945,1,1
416462,1.1,5.8,4.1,0,0,947,1,1
416482,0.8,7.6,8.9,0,0,945,1,1
416502,0.9,6.3,4.1,0,0,943,1,1
416522,0.7,8.2,8.9,0,0,945,1,1
416542,0.8,8.0,7.3,0,0,943,1,1
416562,0.8,6.3,6.5,0,0,946,1,1
416582,0.8,6.7,6.7,0,0,944,1,1
416602,0.8,7.4,7.1,0,0,946,1,1
416622,0.8,6.8,6.6,0,0,947,1,1
416642,0.8,7.0,6.8,0,0,944,1,1
416662,0.8,7.6,7.0,0,0,945,1,1
416682,0.8,7.0,6.9,0,0,945,1,1
416702,0.8,6.8,6.4,0,0,944,1,1
416722,0.8,7.1,7.0,0,0,946,1,1
416742,0.8,7.1,6.8,0,0,947,1,1
416762,0.8,6.9,6.6,0,0,946,1,1
416782,0.8,7.2,6.9,0,0,946,1,1
416802,0.8,7.1,6.8,0,0,942,1,1
416822,0.8,6.9,6.7,0,0,944,1,1
416842,0.8,7.2,6.8,0,0,946,1,1
416862,0.8,7.1,6.8,0,0,943,1,1
416882,0.8,7.0,6.7,0,0,948,1,1
416902,0.8,7.1,6.8,0,0,947,1,1
416922,0.8,7.0,6.8,0,0,945,1,1
416942,0.8,7.0,6.8,0,0,946,1,1
416962,0.8,7.1,6.8,0,0,945,1,1
416982,0.8,7.1,6.8,0,0,946,1,1
417002,0.8,7.1,6.8,0,0,947,1,1
417022,0.8,7.1,6.8,0,0,945,1,1
417042,0.8,7.0,6.8,0,0,945,1,1
417062,0.8,7.0,6.8,0,0,944,1,1
417082,0.8,7.1,6.8,0,0,944,1,1
417102,0.8,7.1,6.8,0,0,946,1,1
417122,0.8,7.0,6.8,0,0,945,1,1
417142,0.8,7.0,6.8,0,0,949,1,1
417162,0.8,6.8,6.2,0,0,945,1,1
417182,0.8,7.3,6.9,0,0,945,1,1
417202,0.7,7.0,7.0,0,0,945,1,1
417222,0.8,7.3,7.1,0,0,946,1,1
417242,0.8,7.5,6.8,0,0,946,1,1
417262,0.7,6.5,6.4,0,0,946,1,1
