timestamp,Ax,Ay,Az,Dx,Dy,flex,B1,B2
582362,0.7,5.9,7.8,0,0,945,1,1
582382,0.7,5.9,7.9,0,0,946,1,1
582402,0.7,5.9,7.9,0,0,945,1,1
582422,0.7,5.9,7.9,0,0,933,1,1
582442,0.7,5.9,7.9,0,0,945,1,1
582462,0.7,5.9,7.8,0,0,947,1,1
582482,0.7,5.9,7.9,0,0,942,1,1
582502,0.7,5.9,7.9,0,0,945,1,1
582522,0.7,5.9,7.9,0,0,945,1,1
582542,0.7,5.9,7.9,0,0,945,1,1
582562,0.7,5.9,7.9,0,0,948,1,1
582582,0.7,5.9,7.8,0,0,946,1,1
582602,0.7,5.9,7.9,0,0,945,1,1
582622,0.7,5.9,7.9,0,0,946,1,1
582642,0.7,5.9,7.9,0,0,947,1,1
582662,0.7,5.9,7.9,0,0,947,1,1
582682,0.7,5.9,7.9,0,0,945,1,1
582702,0.7,5.9,7.9,0,0,946,1,1
582722,0.7,5.9,7.9,0,0,944,1,1
582742,0.7,5.9,7.9,0,0,944,1,1
582762,0.7,5.9,7.9,0,0,945,1,1
582782,0.7,5.9,7.8,0,0,945,1,1
582802,0.7,5.9,7.9,0,0,946,1,1
582822,0.7,5.9,7.9,0,0,948,1,1
582842,0.7,5.9,7.9,0,0,946,1,1
582862,0.7,5.9,7.9,0,0,948,1,1
582882,0.7,5.9,7.9,0,0,945,1,1
582902,0.7,5.9,7.9,0,0,945,1,1
582922,0.7,5.9,7.9,0,0,944,1,1
582942,0.7,5.9,7.9,0,0,945,1,1
582962,0.7,5.9,7.9,0,0,948,1,1
582982,0.7,5.9,7.9,0,0,945,1,1
583002,0.7,5.9,7.9,0,0,946,1,1
583022,0.7,5.9,7.9,0,0,944,1,1
583042,0.7,5.9,7.9,0,0,945,1,1
583062,0.7,5.9,7.9,0,0,943,1,1
583082,0.7,5.9,7.9,0,0,943,1,1
583102,0.7,5.9,7.9,0,0,948,1,1
583122,0.7,5.9,7.9,0,0,944,1,1
583142,0.7,5.9,7.9,0,0,945,1,1
583162,0.7,5.9,7.8,0,0,943,1,1
583182,0.7,5.9,7.9,0,0,945,1,1
583202,0.7,5.9,7.9,0,0,946,1,1
583222,0.7,5.9,7.9,0,0,947,1,1
583242,0.7,5.9,7.9,0,0,945,1,1
583262,0.7,5.9,7.9,0,0,945,1,1
583282,0.7,5.9,7.9,0,0,943,1,1
583302,0.7,5.9,7.8,0,0,943,1,1
583322,0.7,5.9,7.9,0,0,943,1,1
583342,0.7,5.9,7.9,0,0,947,1,1
583362,0.7,5.9,7.9,0,0,947,1,1
583382,0.7,5.9,7.9,0,0,948,1,1
583402,0.7,5.9,7.9,0,0,949,1,1
583422,0.7,5.9,7.9,0,0,945,1,1
583442,0.7,5.9,7.9,0,0,945,1,1
583462,0.7,5.9,7.9,0,0,946,1,1
583482,0.7,5.9,7.9,0,0,947,1,1
583502,0.7,5.9,7.9,0,0,948,1,1
583522,0.7,5.9,7.9,0,0,946,1,1
583542,0.7,5.9,7.9,0,0,945,1,1
583562,0.7,5.9,7.9,0,0,944,1,1
583582,0.7,5.9,7.9,0,0,945,1,1
583602,0.7,5.9,7.9,0,0,945,1,1
583622,0.7,5.9,7.9,0,0,947,1,1
583642,0.7,5.9,7.9,0,0,946,1,1
583662,0.7,5.9,7.9,0,0,946,1,1
583682,0.7,5.9,7.9,0,0,944,1,1
583702,0.7,5.9,7.9,0,0,946,1,1
583722,0.7,5.9,7.9,0,0,944,1,1
583742,0.7,5.9,7.9,0,0,945,1,1
583762,0.7,5.9,7.9,0,0,943,1,1
583782,0.7,5.9,7.9,0,0,948,1,1
583802,0.7,5.9,7.9,0,0,945,1,1
583822,0.7,5.9,7.9,0,0,943,1,1
583842,0.7,5.9,7.9,0,0,943,1,1
583862,0.7,5.9,7.9,0,0,944,1,1
583882,0.7,5.9,7.9,0,0,948,1,1
583902,0.7,5.9,7.9,0,0,947,1,1
583922,0.7,5.9,7.9,0,0,945,1,1
583942,0.6,5.3,7.2,0,0,945,1,1
583962,0.8,5.5,7.3,0,0,944,1,1
583982,0.7,6.2,8.3,0,0,945,1,1
584002,0.7,6.5,8.1,0,0,944,1,1
584022,0.7,5.9,7.7,0,0,945,1,1
584042,0.8,6.0,8.2,7,31,944,1,1
584062,0.8,5.9,8.3,0,26,945,1,1
584082,0.7,5.7,8.0,-9,14,947,1,1
584102,0.4,5.1,8.2,-12,4,943,1,1
584122,0.5,5.5,7.7,-11,-4,944,1,1
584142,0.5,5.4,8.0,-9,-13,945,1,1
584162,1.2,6.8,8.8,-7,-20,946,1,1
584182,0.4,5.2,6.5,-6,-18,947,1,1
584202,0.8,5.7,7.7,-4,-14,946,1,1
584222,1.4,6.4,8.0,-4,-9,944,1,1
584242,0.6,6.2,8.0,-3,-5,946,1,1
584262,0.7,5.6,8.0,-2,-2,947,1,1
584282,1.0,5.6,6.8,0,0,945,1,1
584302,0.7,5.4,7.6,0,0,944,1,1
584322,0.7,5.8,7.9,0,0,943,1,1
584342,0.7,5.9,7.9,0,0,947,1,1
584362,0.7,5.9,7.9,0,0,945,1,1
584382,0.7,5.9,7.9,0,0,944,1,1
584402,0.7,5.9,7.9,0,0,946,1,1
584422,0.7,5.9,7.8,0,0,945,1,1
584442,0.7,6.0,8.0,0,0,948,1,1
584462,0.7,5.9,7.9,0,0,946,1,1
584482,0.7,5.8,7.8,0,0,946,1,1
584502,0.7,5.8,7.8,0,0,946,1,1
584522,0.7,6.0,7.8,0,0,946,1,1
584542,0.7,5.9,7.8,0,0,947,1,1
584562,0.7,5.9,7.9,0,0,947,1,1
