timestamp,Ax,Ay,Az,Dx,Dy,flex,B1,B2
513962,0.8,4.7,8.7,0,0,945,1,1
513982,0.8,4.7,8.7,0,0,946,1,1
514002,0.8,4.7,8.6,0,0,947,1,1
514022,0.8,4.7,8.7,0,0,946,1,1
514042,0.8,4.7,8.6,0,0,945,1,1
514062,0.8,4.7,8.7,0,0,947,1,1
514082,0.8,4.7,8.6,0,0,944,1,1
514102,0.8,4.7,8.6,0,0,945,1,1
514122,0.8,4.7,8.7,0,0,942,1,1
514142,0.8,4.7,8.6,0,0,944,1,1
514162,0.8,4.7,8.7,0,0,944,1,1
514182,0.8,4.7,8.7,0,0,944,1,1
514202,0.8,4.7,8.6,0,0,947,1,1
514222,0.8,4.7,8.7,0,0,947,1,1
514242,0.8,4.7,8.7,0,0,945,1,1
514262,0.8,4.7,8.6,0,0,946,1,1
514282,0.8,4.7,8.6,0,0,946,1,1
514302,0.8,4.7,8.7,0,0,946,1,1
514322,0.8,4.7,8.7,0,0,945,1,1
514342,0.8,4.7,8.7,0,0,945,1,1
514362,0.8,4.7,8.6,0,0,945,1,1
514382,0.7,4.7,8.6,0,0,943,1,1
514402,0.8,4.7,8.6,0,0,945,1,1
514422,0.8,4.7,8.6,0,0,945,1,1
514442,0.8,4.7,8.7,0,0,945,1,1
514462,0.8,4.7,8.6,0,0,948,1,1
514482,0.8,4.7,8.6,0,0,945,1,1
514502,0.8,4.7,8.6,0,0,948,1,1
514522,0.8,4.7,8.6,0,0,945,1,1
514542,0.8,4.7,8.6,0,0,944,1,1
514562,0.8,4.7,8.6,0,0,946,1,1
514582,0.8,4.7,8.7,0,0,943,1,1
514602,0.9,4.7,8.6,0,0,944,1,1
514622,0.8,4.7,8.6,0,0,945,1,1
514642,0.8,4.7,8.7,0,0,947,1,1
514662,0.8,4.7,8.6,0,0,941,1,1
514682,0.8,4.7,8.6,0,0,946,1,1
514702,0.8,4.7,8.6,0,0,946,1,1
514722,0.8,4.7,8.7,0,0,944,1,1
514742,0.8,4.7,8.6,0,0,947,1,1
514762,0.8,4.7,8.7,0,0,946,1,1
514782,0.9,4.7,8.6,0,0,947,1,1
514802,0.8,4.7,8.6,0,0,947,1,1
514822,0.8,4.7,8.7,0,0,946,1,1
514842,0.8,4.8,8.8,0,0,945,1,1
514862,0.8,4.8,8.6,0,0,946,1,1
514882,0.8,4.7,8.8,0,0,947,1,1
514902,0.8,4.7,8.6,0,0,944,1,1
514922,0.8,4.6,8.6,0,0,944,1,1
514942,0.8,4.7,8.6,14,-1,945,1,1
514962,0.8,4.6,8.6,7,-1,945,1,1
514982,0.8,4.7,8.7,-3,0,944,1,1
515002,0.8,4.8,8.7,-8,0,947,1,1
515022,0.8,4.7,8.7,-12,0,946,1,1
515042,0.5,5.1,9.5,-7,1,946,1,1
515062,1.0,5.1,10.0,-5,0,946,1,1
515082,0.8,4.7,8.8,0,0,945,1,1
515102,0.8,4.7,8.6,0,0,947,1,1
515122,0.8,4.6,8.5,0,0,945,1,1
515142,0.8,4.7,8.6,0,0,944,1,1
515162,0.8,4.7,8.6,0,0,945,1,1
515182,0.8,4.7,8.6,0,0,944,1,1
515202,0.8,4.7,8.6,0,0,944,1,1
515222,0.8,4.7,8.6,0,0,945,1,1
515242,0.8,4.7,8.6,0,0,948,1,1
515262,0.8,4.7,8.7,0,0,944,1,1
515282,0.8,4.7,8.6,0,0,948,1,1
515302,0.8,4.7,8.6,0,0,944,1,1
515322,0.8,4.7,8.6,0,0,944,1,1
515342,0.8,4.7,8.7,0,0,946,1,1
515362,0.8,4.7,8.7,0,0,945,1,1
515382,0.8,4.7,8.6,0,0,946,1,1
515402,0.8,4.7,8.6,0,0,945,1,1
515422,0.8,4.7,8.6,0,0,945,1,1
515442,0.8,4.7,8.7,0,0,944,1,1
515462,0.8,4.7,8.6,0,0,944,1,1
515482,0.8,4.7,8.7,0,0,942,1,1
515502,0.8,4.7,8.7,0,0,943,1,1
515522,0.8,4.7,8.7,0,0,945,1,1
515542,0.8,4.7,8.7,0,0,943,1,1
515562,0.8,4.7,8.7,0,0,949,1,1
515582,0.8,4.7,8.6,0,0,947,1,1
515602,0.8,4.7,8.7,0,0,944,1,1
515622,0.8,4.7,8.6,0,0,947,1,1
515642,0.8,4.7,8.6,0,0,945,1,1
515662,0.8,4.7,8.6,0,0,947,1,1
515682,0.8,4.7,8.7,0,0,944,1,1
515702,0.8,4.7,8.7,0,0,946,1,1
515722,0.8,4.7,8.7,0,0,946,1,1
515742,0.8,4.7,8.7,0,0,946,1,1
515762,0.8,4.7,8.6,0,0,943,1,1
515782,0.8,4.7,8.7,0,0,943,1,1
515802,0.8,4.7,8.6,0,0,946,1,1
