timestamp,Ax,Ay,Az,Dx,Dy,flex,B1,B2
59414,6.0,-5.2,5.4,0,0,945,1,1
59434,6.3,-5.1,5.6,0,0,944,1,1
59454,6.4,-5.2,5.9,0,0,944,1,1
59474,6.7,-5.4,5.8,0,0,946,1,1
59494,6.6,-5.4,5.5,0,0,947,1,1
59514,6.3,-5.2,5.2,0,0,950,1,1
59534,6.3,-5.3,4.9,0,0,952,1,1
59554,6.3,-5.6,5.0,0,0,947,1,1
59574,6.3,-5.7,5.5,0,0,946,1,1
59594,6.3,-5.6,5.7,0,0,948,1,1
59614,6.2,-5.4,5.7,0,0,946,1,1
59634,6.3,-5.3,5.4,0,0,947,1,1
59654,6.4,-5.5,5.4,0,0,944,1,1
59674,6.6,-5.9,5.4,0,0,946,1,1
59694,6.4,-5.8,5.3,0,0,946,1,1
59714,6.2,-5.7,5.1,0,0,946,1,1
59734,6.1,-5.7,5.1,0,0,944,1,1
59754,6.2,-5.7,5.2,0,0,947,1,1
59774,6.1,-5.5,5.5,0,0,944,1,1
59794,6.2,-5.6,5.6,0,0,945,1,1
59814,6.5,-6.1,5.7,0,0,946,1,1
59834,6.4,-5.8,5.4,0,0,945,1,1
59854,6.3,-5.8,5.2,0,0,945,1,1
59874,6.1,-5.7,5.2,0,0,947,1,1
59894,6.1,-5.8,5.1,0,0,945,1,1
59914,6.1,-5.7,5.2,0,0,943,1,1
59934,6.1,-5.7,5.2,0,0,944,1,1
59954,6.2,-5.7,5.3,0,0,945,1,1
59974,6.4,-5.7,5.3,0,0,945,1,1
59994,6.3,-5.7,5.3,0,0,947,1,1
60014,6.4,-5.9,5.2,0,0,945,1,1
60034,6.2,-5.7,5.1,0,0,945,1,1
60054,6.1,-5.6,5.1,0,0,945,1,1
60074,6.0,-5.7,5.2,0,0,947,1,1
60094,6.0,-5.8,5.3,0,0,948,1,1
60114,6.2,-5.8,5.4,0,0,947,1,1
60134,6.2,-5.8,5.5,0,0,947,1,1
60154,6.3,-5.8,5.4,0,0,945,1,1
60174,6.2,-5.7,5.2,0,0,945,1,1
60194,6.2,-5.7,5.1,0,0,947,1,1
60214,6.1,-5.7,5.2,0,0,945,1,1
60234,6.1,-5.5,4.9,0,0,948,1,1
60254,6.1,-5.6,4.9,0,0,945,1,1
60274,6.0,-5.5,5.0,0,0,944,1,1
60294,6.0,-5.4,4.9,0,0,945,1,1
60314,6.3,-5.7,5.0,0,0,946,1,1
60334,6.2,-6.2,5.0,0,0,946,1,1
60354,6.5,-8.4,5.6,0,0,945,1,1
60374,7.1,-11.3,10.6,0,0,948,1,1
60394,4.2,-15.0,21.0,0,0,946,1,1
60414,1.3,-13.7,21.9,0,0,946,1,1
60434,2.0,-6.3,9.4,0,0,948,1,1
60454,-0.4,-1.3,-2.6,0,0,946,1,1
60474,0.2,14.7,-15.2,0,0,946,1,1
60494,1.2,29.6,-33.0,0,0,945,1,1
60514,7.6,13.1,-19.0,0,0,944,1,1
60534,9.7,-11.8,8.4,0,0,946,1,1
60554,-0.7,-22.1,36.4,0,0,947,1,1
